ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count,pct_dependents,pct_working_age,per_capita_income,hardship_index,scaled_business_license_count,scaled_food_inspections_count,scaled_liquor_license_count,scaled_building_permits_count,saturation_index
51,SOUTH DEERING,4.0,4.0,2.0,7.0,39.5,60.5,14685.0,65.0,0.09523809523809523,0.05128205128205128,0.013888888888888888,0.06306306306306306,0.0534093159093159
62,WEST ELSDON,4.0,6.0,3.0,2.0,37.7,62.3,15754.0,69.0,0.09523809523809523,0.07692307692307693,0.020833333333333332,0.018018018018018018,0.05289389664389664
49,ROSELAND,2.0,6.0,2.0,8.0,41.2,58.8,17949.0,52.0,0.047619047619047616,0.07692307692307693,0.013888888888888888,0.07207207207207207,0.049716612216612215
13,NORTH PARK,6.0,4.0,0.0,0.0,39.0,61.0,26576.0,33.0,0.14285714285714285,0.05128205128205128,0.0,0.0,0.04853479853479853
75,MORGAN PARK,3.0,5.0,0.0,8.0,40.3,59.7,27149.0,30.0,0.07142857142857142,0.0641025641025641,0.0,0.07207207207207207,0.04829719829719829
59,MCKINLEY PARK,6.0,1.0,1.0,4.0,35.6,64.4,16954.0,61.0,0.14285714285714285,0.01282051282051282,0.006944444444444444,0.036036036036036036,0.04820995445995446
64,CLEARING,1.0,5.0,5.0,6.0,37.6,62.4,25113.0,29.0,0.023809523809523808,0.0641025641025641,0.034722222222222224,0.05405405405405406,0.04320549945549945
38,GRAND BOULEVARD,1.0,6.0,1.0,8.0,39.5,60.5,23472.0,57.0,0.023809523809523808,0.07692307692307693,0.006944444444444444,0.07207207207207207,0.04168089793089793
53,WEST PULLMAN,3.0,1.0,2.0,9.0,42.1,57.9,16563.0,62.0,0.07142857142857142,0.01282051282051282,0.013888888888888888,0.08108108108108109,0.04144515394515394
35,DOUGLAS,1.0,7.0,2.0,4.0,30.7,69.3,23791.0,47.0,0.023809523809523808,0.08974358974358974,0.013888888888888888,0.036036036036036036,0.03976215226215227
68,ENGLEWOOD,1.0,2.0,1.0,14.0,42.5,57.5,11888.0,94.0,0.023809523809523808,0.02564102564102564,0.006944444444444444,0.12612612612612611,0.03967119592119592
74,MOUNT GREENWOOD,3.0,1.0,5.0,3.0,36.8,63.2,34381.0,16.0,0.07142857142857142,0.01282051282051282,0.034722222222222224,0.02702702702702703,0.036884343134343134
9,EDISON PARK,2.0,4.0,2.0,2.0,35.3,64.7,40959.0,8.0,0.047619047619047616,0.05128205128205128,0.013888888888888888,0.018018018018018018,0.032495544995544995
27,EAST GARFIELD PARK,2.0,3.0,0.0,6.0,43.2,56.8,12961.0,83.0,0.047619047619047616,0.038461538461538464,0.0,0.05405405405405406,0.03233095733095733
12,FOREST GLEN,2.0,1.0,2.0,7.0,40.5,59.5,44164.0,11.0,0.047619047619047616,0.01282051282051282,0.013888888888888888,0.06306306306306306,0.031889169389169386
52,EAST SIDE,2.0,1.0,2.0,7.0,42.8,57.2,17104.0,64.0,0.047619047619047616,0.01282051282051282,0.013888888888888888,0.06306306306306306,0.031889169389169386
37,FULLER PARK,2.0,5.0,1.0,1.0,44.9,55.1,10432.0,97.0,0.047619047619047616,0.0641025641025641,0.006944444444444444,0.009009009009009009,0.031815538065538065
45,AVALON PARK,2.0,4.0,0.0,2.0,39.3,60.7,24454.0,41.0,0.047619047619047616,0.05128205128205128,0.0,0.018018018018018018,0.02832887832887833
26,WEST GARFIELD PARK,2.0,2.0,1.0,2.0,43.6,56.4,10934.0,92.0,0.047619047619047616,0.02564102564102564,0.006944444444444444,0.018018018018018018,0.02400195525195525
55,HEGEWISCH,1.0,3.0,4.0,0.0,42.9,57.1,22677.0,44.0,0.023809523809523808,0.038461538461538464,0.027777777777777776,0.0,0.0239010989010989
39,KENWOOD,0.0,3.0,1.0,6.0,35.4,64.6,35911.0,26.0,0.0,0.038461538461538464,0.006944444444444444,0.05405405405405406,0.02250952875952876
48,CALUMET HEIGHTS,0.0,4.0,1.0,4.0,44.0,56.0,28887.0,38.0,0.0,0.05128205128205128,0.006944444444444444,0.036036036036036036,0.02211105336105336
50,PULLMAN,1.0,5.0,0.0,0.0,38.6,61.4,20588.0,51.0,0.023809523809523808,0.0641025641025641,0.0,0.0,0.021978021978021976
40,WASHINGTON PARK,0.0,1.0,3.0,5.0,42.8,57.2,13785.0,88.0,0.0,0.01282051282051282,0.020833333333333332,0.04504504504504504,0.018464137214137213
18,MONTCLARE,0.0,2.0,2.0,1.0,,,,,0.0,0.02564102564102564,0.013888888888888888,0.009009009009009009,0.01237872487872488
54,RIVERDALE,1.0,0.0,0.0,2.0,51.5,48.5,8201.0,98.0,0.023809523809523808,0.0,0.0,0.018018018018018018,0.009555984555984555
36,OAKLAND,0.0,0.0,0.0,1.0,40.4,59.6,19252.0,78.0,0.0,0.0,0.0,0.009009009009009009,0.0018018018018018018
47,BURNSIDE,0.0,0.0,0.0,1.0,42.7,57.3,12515.0,79.0,0.0,0.0,0.0,0.009009009009009009,0.0018018018018018018
