ca_num,ca_name,bars_undersupply,gyms_undersupply,shops_undersupply,schools_undersupply,combined_opportunity_index,overall_rank
47,BURNSIDE,1.0,1.0,1.0,1.0,1.0,1
18,MONTCLARE,0.9861111111111112,1.0,1.0,1.0,0.9958333333333332,2
36,OAKLAND,1.0,1.0,1.0,0.9565217391304348,0.9934782608695653,3
37,FULLER PARK,0.9930555555555556,0.979042764089493,0.9428571428571428,1.0,0.9773437816078002,4
55,HEGEWISCH,0.9722222222222224,0.9954687057490796,0.9714285714285714,0.9565217391304348,0.9766426821180988,5
48,CALUMET HEIGHTS,0.9930555555555556,0.9821580288870008,1.0,0.8260869565217391,0.9664771188110276,6
54,RIVERDALE,1.0,0.9835740583404134,0.9714285714285714,0.8260869565217391,0.9618424038375276,7
9,EDISON PARK,0.9861111111111112,0.97309544038516,0.9428571428571428,0.9130434782608696,0.9604327729022974,8
40,WASHINGTON PARK,0.9791666666666669,0.9762107051826678,1.0,0.782608695652174,0.9540045159026264,9
50,PULLMAN,1.0,0.9954687057490796,0.9714285714285714,0.7391304347826086,0.952367319799258,10
45,AVALON PARK,1.0,0.97309544038516,0.9428571428571428,0.8260869565217391,0.9515559613080944,11
12,FOREST GLEN,0.9861111111111112,0.9433588218634948,0.9428571428571428,0.9130434782608696,0.951511787345798,12
64,CLEARING,0.9652777777777778,0.9597847635230812,0.9714285714285714,0.8695652173913043,0.9508106878560962,13
39,KENWOOD,0.9930555555555556,0.9702633814783348,1.0,0.7391304347826086,0.9498652463275584,14
34,ARMOUR SQUARE,0.9236111111111112,0.9552534692721608,0.9714285714285714,0.9130434782608696,0.9434730387112548,15
26,WEST GARFIELD PARK,0.9930555555555556,0.97309544038516,0.9428571428571428,0.782608695652174,0.9429508888443264,16
62,WEST ELSDON,0.9791666666666669,0.952138204474653,0.8857142857142857,0.9130434782608696,0.9377765545100976,17
38,GRAND BOULEVARD,0.9930555555555556,0.9478901161144152,0.9714285714285714,0.7391304347826086,0.9360104095755254,18
74,MOUNT GREENWOOD,0.9652777777777778,0.9566694987255736,0.9142857142857144,0.8695652173913043,0.9355903941311297,19
57,ARCHER HEIGHTS,0.9583333333333334,0.97309544038516,0.9428571428571428,0.782608695652174,0.9325342221776598,20
52,EAST SIDE,0.9861111111111112,0.9433588218634948,0.9428571428571428,0.782608695652174,0.9319465699544937,21
51,SOUTH DEERING,0.9861111111111112,0.9224015859529878,0.8857142857142857,0.9130434782608696,0.9309389022869315,22
72,BEVERLY,0.9791666666666669,0.9269328802039084,0.9142857142857144,0.8695652173913043,0.9308360752412967,23
42,WOODLAWN,0.9930555555555556,0.930048145001416,0.9714285714285714,0.7391304347826086,0.9306578182416256,24
20,HERMOSA,0.9791666666666669,0.9535542339280656,0.8571428571428572,0.8260869565217391,0.9180150279423948,25
13,NORTH PARK,1.0,0.9430756159728122,0.8571428571428572,0.782608695652174,0.914599703425384,26
75,MORGAN PARK,1.0,0.9269328802039084,0.9142857142857144,0.6956521739130435,0.9109991187195574,27
41,HYDE PARK,0.9166666666666669,0.940243557065987,0.8857142857142857,0.8695652173913043,0.9089364211570632,28
35,DOUGLAS,0.9861111111111112,0.9716794109317474,0.9714285714285714,0.5217391304347826,0.9084551690352178,29
46,SOUTH CHICAGO,0.9930555555555556,0.9552534692721608,0.9428571428571428,0.5652173913043478,0.9049896018582528,30
33,NEAR SOUTH SIDE,0.8819444444444445,0.9136222033418296,0.9428571428571428,0.8695652173913043,0.9048190626588636,31
59,MCKINLEY PARK,0.9930555555555556,0.91928632115548,0.8285714285714285,0.8260869565217391,0.9047584636344288,32
53,WEST PULLMAN,0.9861111111111112,0.9209855564995753,0.9142857142857144,0.6521739130434783,0.8985265158111561,33
76,OHARE,0.9722222222222224,0.8997451146983858,0.7428571428571429,1.0,0.8973044867904681,34
11,JEFFERSON PARK,0.9305555555555556,0.8850184083828944,0.8285714285714285,0.9565217391304348,0.8952933071939573,35
65,WEST LAWN,0.9236111111111112,0.9311809685641462,0.8571428571428572,0.8260869565217391,0.8946363816665523,36
10,NORWOOD PARK,0.951388888888889,0.9209855564995753,0.9142857142857144,0.6956521739130435,0.8946315882749242,37
49,ROSELAND,0.9861111111111112,0.9374114981591616,0.9714285714285714,0.4782608695652174,0.8916530560730074,38
1,ROGERS PARK,0.8819444444444445,0.9314641744548288,0.9428571428571428,0.7391304347826086,0.8906064366014589,39
27,EAST GARFIELD PARK,1.0,0.9493061455678278,0.9428571428571428,0.4347826086956521,0.8857235206889819,40
73,WASHINGTON HEIGHTS,0.9861111111111112,0.9076748796374964,0.9428571428571428,0.5217391304347826,0.8821109525040853,41
66,CHICAGO LAWN,0.9236111111111112,0.9255168507504956,0.9428571428571428,0.6086956521739131,0.8817570220988548,42
63,GAGE PARK,0.9722222222222224,0.961200792976494,0.9428571428571428,0.4347826086956521,0.8809585815782485,43
43,SOUTH SHORE,0.9722222222222224,0.9105069385443216,0.9142857142857144,0.5652173913043478,0.8781727854970438,44
17,DUNNING,0.8125,0.9314641744548288,0.9428571428571428,0.782608695652174,0.8762948423985604,45
56,GARFIELD RIDGE,0.951388888888889,0.8465024072500708,0.8571428571428572,0.782608695652174,0.8710444074752283,46
67,WEST ENGLEWOOD,0.9791666666666669,0.8853016142735769,0.9142857142857144,0.5217391304347826,0.866172782418719,47
71,AUBURN GRESHAM,0.9791666666666669,0.9136222033418296,0.9428571428571428,0.3913043478260869,0.8622465988907477,48
44,CHATHAM,0.9652777777777778,0.907391673746814,0.8285714285714285,0.6086956521739131,0.8602480404263216,49
