ca_num,degree_centrality_adj,ca_name,saturation_index
1,0.02631578947368421,ROGERS PARK,0.0795632858132858
2,0.05263157894736842,WEST RIDGE,0.1663053163053162
3,0.05263157894736842,UPTOWN,0.1210356647856647
4,0.10526315789473684,LINCOLN SQUARE,0.1746367933867934
5,0.10526315789473684,NORTH CENTER,0.124511187011187
6,0.05263157894736842,LAKE VIEW,0.3450258637758637
7,0.06578947368421052,LINCOLN PARK,0.3457120582120582
8,0.05263157894736842,NEAR NORTH SIDE,0.9464285714285714
9,0.013157894736842105,EDISON PARK,0.0324955449955449
10,0.05263157894736842,NORWOOD PARK,0.0550669488169488
11,0.039473684210526314,JEFFERSON PARK,0.0833246708246708
12,0.07894736842105263,FOREST GLEN,0.0318891693891693
13,0.05263157894736842,NORTH PARK,0.0485347985347985
14,0.07894736842105263,ALBANY PARK,0.1432469557469557
15,0.09210526315789473,PORTAGE PARK,0.1736344173844174
16,0.09210526315789473,IRVING PARK,0.1080666518166518
17,0.05263157894736842,DUNNING,0.1260376447876448
18,0.039473684210526314,MONTCLARE,0.0123787248787248
19,0.07894736842105263,BELMONT CRAGIN,0.2480181417681417
20,0.09210526315789473,HERMOSA,0.0808836996336996
21,0.05263157894736842,AVONDALE,0.0885401197901197
22,0.07894736842105263,LOGAN SQUARE,0.6795304920304921
23,0.09210526315789473,HUMBOLDT PARK,0.2222075784575784
24,0.07894736842105263,WEST TOWN,0.652069102069102
25,0.07894736842105263,AUSTIN,0.2748316998316998
26,0.05263157894736842,WEST GARFIELD PARK,0.0240019552519552
27,0.06578947368421052,EAST GARFIELD PARK,0.0323309573309573
28,0.10526315789473684,NEAR WEST SIDE,0.5011941886941886
29,0.07894736842105263,NORTH LAWNDALE,0.0813520938520938
30,0.07894736842105263,SOUTH LAWNDALE,0.1774663399663399
31,0.10526315789473684,LOWER WEST SIDE,0.2427915552915553
32,0.039473684210526314,LOOP,0.5650746213246213
33,0.06578947368421052,NEAR SOUTH SIDE,0.113814845064845
34,0.09210526315789473,ARMOUR SQUARE,0.0694714632214632
35,0.05263157894736842,DOUGLAS,0.0397621522621522
36,0.039473684210526314,OAKLAND,0.0018018018018018
37,0.07894736842105263,FULLER PARK,0.031815538065538
38,0.09210526315789473,GRAND BOULEVARD,0.0416808979308979
39,0.05263157894736842,KENWOOD,0.0225095287595287
40,0.09210526315789473,WASHINGTON PARK,0.0184641372141372
41,0.05263157894736842,HYDE PARK,0.1137090387090386
42,0.05263157894736842,WOODLAWN,0.08875297000297
43,0.05263157894736842,SOUTH SHORE,0.0996411246411246
44,0.07894736842105263,CHATHAM,0.0921981734481734
45,0.07894736842105263,AVALON PARK,0.0283288783288783
46,0.06578947368421052,SOUTH CHICAGO,0.0614586427086427
47,0.07894736842105263,BURNSIDE,0.0018018018018018
48,0.06578947368421052,CALUMET HEIGHTS,0.0221110533610533
49,0.10526315789473684,ROSELAND,0.0497166122166122
50,0.05263157894736842,PULLMAN,0.0219780219780219
51,0.09210526315789473,SOUTH DEERING,0.0534093159093159
52,0.039473684210526314,EAST SIDE,0.0318891693891693
53,0.039473684210526314,WEST PULLMAN,0.0414451539451539
54,0.06578947368421052,RIVERDALE,0.0095559845559845
55,0.039473684210526314,HEGEWISCH,0.0239010989010989
56,0.06578947368421052,GARFIELD RIDGE,0.0960084397584397
57,0.05263157894736842,ARCHER HEIGHTS,0.0664699039699039
58,0.09210526315789473,BRIGHTON PARK,0.1455456142956143
59,0.06578947368421052,MCKINLEY PARK,0.0482099544599544
60,0.06578947368421052,BRIDGEPORT,0.1257400257400257
61,0.09210526315789473,NEW CITY,0.150272869022869
62,0.07894736842105263,WEST ELSDON,0.0528938966438966
63,0.07894736842105263,GAGE PARK,0.1075735075735075
64,0.039473684210526314,CLEARING,0.0432054994554994
65,0.07894736842105263,WEST LAWN,0.0750550688050688
66,0.06578947368421052,CHICAGO LAWN,0.0720702158202158
67,0.06578947368421052,WEST ENGLEWOOD,0.0607495544995545
68,0.07894736842105263,ENGLEWOOD,0.0396711959211959
69,0.09210526315789473,GREATER GRAND CROSSING,0.1062735125235125
70,0.05263157894736842,ASHBURN,0.117308311058311
71,0.11842105263157894,AUBURN GRESHAM,0.0846481783981784
72,0.06578947368421052,BEVERLY,0.0641625829125829
73,0.05263157894736842,WASHINGTON HEIGHTS,0.0651358776358776
74,0.02631578947368421,MOUNT GREENWOOD,0.0368843431343431
75,0.06578947368421052,MORGAN PARK,0.0482971982971982
76,0.02631578947368421,OHARE,0.1007647757647757
77,0.05263157894736842,EDGEWATER,0.1409606722106722
