ca_num,ca_name,business_license_count,food_inspections_count,liquor_license_count,building_permits_count,pct_dependents,pct_working_age,per_capita_income,hardship_index,scaled_business_license_count,scaled_food_inspections_count,scaled_liquor_license_count,scaled_building_permits_count,saturation_index,retail_count,school_count,scaled_retail_count,scaled_school_count,school_need,schools_undersupply_raw,schools_undersupply,bars_need,bars_undersupply_raw,bars_undersupply,gym_need,gym_supply,gyms_undersupply_raw,gyms_undersupply,shop_need,shops_undersupply_raw,shops_undersupply,combined_opportunity_index
8,NEAR NORTH SIDE,33.0,78.0,144.0,111.0,22.6,77.4,88669.0,1.0,0.7857142857142857,1.0,1.0,1.0,0.9464285714285714,30.0,9,0.8571428571428571,0.34782608695652173,22.6,14.73913043478261,0.32826571124237436,77.4,0.0,0.0,77.4,0.7857142857142857,16.58571428571429,0.2226982097186701,100.0,14.28571428571429,0.1428571428571429,0.1517636053162429
22,LOGAN SQUARE,42.0,59.0,86.0,34.0,26.2,73.8,31908.0,23.0,1.0,0.7564102564102564,0.5972222222222222,0.3063063063063063,0.6795304920304921,35.0,12,1.0,0.4782608695652174,26.2,13.669565217391304,0.30444465963009587,73.8,29.725,0.42649608417528545,73.8,1.0,0.0,0.0,100.0,0.0,0.0,0.17361552419710002
24,WEST TOWN,27.0,72.0,68.0,66.0,21.7,78.3,43198.0,10.0,0.6428571428571428,0.923076923076923,0.4722222222222222,0.5945945945945946,0.652069102069102,26.0,24,0.7428571428571429,1.0,21.7,0.0,0.0,78.3,41.325,0.5929335804388115,78.3,0.6428571428571428,27.96428571428572,0.37547953964194375,100.0,25.71428571428571,0.2571428571428571,0.3548096503099408
32,LOOP,19.0,63.0,69.0,59.0,13.5,86.5,65526.0,3.0,0.4523809523809523,0.8076923076923077,0.4791666666666666,0.5315315315315315,0.5650746213246213,19.0,3,0.5428571428571428,0.08695652173913043,13.5,12.32608695652174,0.2745230948000388,86.5,45.05208333333334,0.6464099958151492,86.5,0.4523809523809523,47.36904761904762,0.6360294117647058,100.0,45.714285714285715,0.45714285714285713,0.5401960007796767
28,NEAR WEST SIDE,20.0,40.0,70.0,60.0,22.2,77.8,44689.0,15.0,0.4761904761904761,0.5128205128205128,0.4861111111111111,0.5405405405405406,0.5011941886941886,17.0,24,0.4857142857142857,1.0,22.2,0.0,0.0,77.8,39.98055555555555,0.573643410852713,77.8,0.4761904761904761,40.75238095238096,0.5471867007672635,100.0,51.42857142857142,0.5142857142857142,0.46482046205742145
7,LINCOLN PARK,7.0,41.0,50.0,38.0,21.5,78.5,71551.0,2.0,0.1666666666666666,0.5256410256410257,0.3472222222222222,0.3423423423423423,0.3457120582120582,7.0,7,0.19999999999999998,0.26086956521739135,21.5,15.891304347826086,0.3539266001743004,78.5,51.24305555555556,0.7352384368585719,78.5,0.1666666666666666,65.41666666666667,0.8783567774936062,100.0,80.0,0.8,0.7371675543317986
6,LAKE VIEW,9.0,23.0,63.0,48.0,17.0,83.0,60058.0,5.0,0.2142857142857142,0.2948717948717949,0.4375,0.4324324324324324,0.3450258637758637,9.0,10,0.2571428571428571,0.3913043478260869,17.0,10.347826086956523,0.2304638326716375,83.0,46.6875,0.6698750523106355,83.0,0.2142857142857142,65.21428571428572,0.8756393861892584,100.0,74.28571428571429,0.7428571428571429,0.6839381921649995
25,AUSTIN,18.0,37.0,8.0,18.0,37.9,62.1,15957.0,73.0,0.4285714285714285,0.4743589743589743,0.0555555555555555,0.1621621621621621,0.2748316998316998,18.0,24,0.5142857142857142,1.0,37.9,0.0,0.0,62.1,58.650000000000006,0.8415137203323967,62.1,0.4285714285714285,35.485714285714295,0.4764705882352942,100.0,48.57142857142858,0.48571428571428577,0.5168238639988787
19,BELMONT CRAGIN,12.0,36.0,19.0,12.0,37.3,62.7,15461.0,70.0,0.2857142857142857,0.4615384615384615,0.1319444444444444,0.1081081081081081,0.2480181417681417,12.0,16,0.34285714285714286,0.6521739130434783,37.3,12.973913043478259,0.28895129272780085,62.7,54.427083333333336,0.7809230585281282,62.7,0.2857142857142857,44.78571428571429,0.6013427109974425,100.0,65.71428571428571,0.657142857142857,0.6223081390525556
31,LOWER WEST SIDE,13.0,30.0,22.0,13.0,32.6,67.4,16444.0,76.0,0.3095238095238095,0.3846153846153846,0.1527777777777777,0.1171171171171171,0.2427915552915553,12.0,15,0.34285714285714286,0.6086956521739131,32.6,12.756521739130434,0.28410961557083375,67.4,57.10277777777779,0.8193140830194696,67.4,0.3095238095238095,46.53809523809524,0.6248721227621483,100.0,65.71428571428571,0.657142857142857,0.6401580183558246
23,HUMBOLDT PARK,22.0,17.0,9.0,10.0,38.0,62.0,13781.0,85.0,0.5238095238095237,0.2179487179487179,0.0625,0.09009009009009,0.2222075784575784,21.0,17,0.6,0.6956521739130435,38.0,11.565217391304348,0.25757722475065364,62.0,58.125,0.8339809888204698,62.0,0.5238095238095237,29.52380952380953,0.3964194373401535,100.0,40.0,0.4,0.507756711560785
30,SOUTH LAWNDALE,12.0,23.0,6.0,11.0,33.8,66.2,10402.0,96.0,0.2857142857142857,0.2948717948717949,0.0416666666666666,0.0990990990990991,0.1774663399663399,12.0,24,0.34285714285714286,1.0,33.8,0.0,0.0,66.2,63.44166666666667,0.910264841274586,66.2,0.2857142857142857,47.28571428571429,0.6349104859335039,100.0,65.71428571428571,0.657142857142857,0.6278383124481413
