ca_num,ca_name,bars_undersupply,gyms_undersupply,shops_undersupply,schools_undersupply,combined_opportunity_index,overall_rank
18,MONTCLARE,0.9099196045450604,0.863508329301168,1.0,0.7948594474206946,0.9012572972669728,1
33,NEAR SOUTH SIDE,0.9895578007612444,1.0,0.9428571428571428,0.4221942480875375,0.8959107631557895,2
36,OAKLAND,0.8551443773539785,0.8002557544757033,1.0,0.8606565314224848,0.8757185192622773,3
39,KENWOOD,0.920447978318487,0.867391304347826,1.0,0.582744262612569,0.8737634241917792,4
47,BURNSIDE,0.8221438393017276,0.7693734015345267,1.0,0.9510022271714924,0.8701055063266001,5
9,EDISON PARK,0.915426157310536,0.8273657289002558,0.9428571428571428,0.7178270552919532,0.8662259098713161,6
35,DOUGLAS,0.980510551802475,0.9083439897698208,0.9714285714285714,0.3567347729253413,0.8630237212676328,7
41,HYDE PARK,0.9706462605368564,0.8965473145780051,0.8857142857142857,0.5074077660501598,0.8576978088705539,8
1,ROGERS PARK,0.9174289073553736,0.9271099744245525,0.9428571428571428,0.4526968141764307,0.8569804723747281,9
64,CLEARING,0.8642314820350331,0.8179028132992326,0.9714285714285714,0.728188244407863,0.856725668118602,10
42,WOODLAWN,0.9104740838165838,0.8375639386189258,0.9714285714285714,0.5942674542461509,0.8564086677247185,11
50,PULLMAN,0.8809708853948705,0.8047953964194373,0.9714285714285714,0.6354217100803718,0.843900283913491,12
55,HEGEWISCH,0.7965166098722624,0.748433503836317,0.9714285714285714,0.9139149801491236,0.8434294239920852,13
34,ARMOUR SQUARE,0.8176501066140571,0.789002557544757,0.9714285714285714,0.7788321874697396,0.841677770225248,14
12,FOREST GLEN,0.8418524939718219,0.7608695652173914,0.9428571428571428,0.8235692844001162,0.8400662961310671,15
45,AVALON PARK,0.8709272433789681,0.7762148337595909,0.9428571428571428,0.7230560666214776,0.8383153188490751,16
3,UPTOWN,1.0,0.89539641943734,0.8571428571428572,0.3654497918078822,0.8377221088880986,17
38,GRAND BOULEVARD,0.8620294533787688,0.7929987212276214,0.9714285714285714,0.6502372421806915,0.8369011815661636,18
48,CALUMET HEIGHTS,0.7979115601522488,0.7519181585677749,1.0,0.8095284206449115,0.8363781787127439,19
74,MOUNT GREENWOOD,0.8753113728303541,0.7879795396419438,0.9142857142857144,0.7126948775055679,0.8344629339389531,20
40,WASHINGTON PARK,0.8036109284390507,0.7680306905370844,1.0,0.7460056163455021,0.8333933281446658,21
37,FULLER PARK,0.7850879815069449,0.7046035805626598,0.9428571428571428,1.0,0.832621754335167,22
62,WEST ELSDON,0.8752615531774974,0.7568414322250638,0.8857142857142857,0.7666311610341824,0.8260541412044671,23
5,NORTH CENTER,0.8971124529204281,0.8965473145780051,0.8857142857142857,0.4312966011426357,0.8242209918494967,24
57,ARCHER HEIGHTS,0.8360136306570215,0.7774936061381074,0.9428571428571428,0.6832574803912076,0.8222550788115055,25
72,BEVERLY,0.8359239552818796,0.7418478260869564,0.9142857142857144,0.7843516994286822,0.8195557178963817,26
51,SOUTH DEERING,0.8560012753831131,0.7349744245524297,0.8857142857142857,0.8032342403408542,0.8192064174603624,27
73,WASHINGTON HEIGHTS,0.9099196045450604,0.8223888850487315,0.9428571428571428,0.414709276915145,0.817613224129695,28
77,EDGEWATER,0.9642494171100616,0.8526214833759591,0.8285714285714285,0.4148348988089474,0.8144293621100054,29
17,DUNNING,0.7740778382256233,0.8491048593350384,0.9428571428571428,0.5856492689067493,0.8105164853184966,30
52,EAST SIDE,0.8093102967258524,0.731457800511509,0.9428571428571428,0.7460056163455021,0.8098455573373193,31
20,HERMOSA,0.8935254379147486,0.7523017902813299,0.8571428571428572,0.6697007843516994,0.8084890003972928,32
26,WEST GARFIELD PARK,0.8036109284390506,0.7212276214833759,0.9428571428571428,0.7599496465575676,0.8071582976746486,33
21,AVONDALE,0.9006396843426796,0.8382352941176471,0.8571428571428572,0.4502759755979472,0.8034896041635043,34
59,MCKINLEY PARK,0.9175982941750862,0.7411764705882353,0.8285714285714285,0.6549820857945193,0.8030225994410314,35
75,MORGAN PARK,0.8565791833562504,0.744341432225064,0.9142857142857144,0.6243826861624867,0.8025050161701958,36
43,SOUTH SHORE,0.8969530300312867,0.7811381074168797,0.9142857142857144,0.449404473709693,0.7994094408623323,37
11,JEFFERSON PARK,0.8611825192802056,0.7217071611253196,0.8285714285714285,0.7562699719182726,0.7954502570522555,38
10,NORWOOD PARK,0.8258603854048344,0.7543158567774936,0.9142857142857144,0.6119879926406507,0.7944225001222246,39
46,SOUTH CHICAGO,0.8392319802315618,0.7531969309462915,0.9428571428571428,0.5173816209935121,0.7910502022166684,40
13,NORTH PARK,0.8752316613857833,0.7020460358056266,0.8571428571428572,0.6797714728381912,0.789434744368866,41
56,GARFIELD RIDGE,0.8449712042406488,0.732193094629156,0.8571428571428572,0.6640844388496177,0.7870476697740983,42
54,RIVERDALE,0.6958809111018114,0.6357097186700766,0.9714285714285714,0.9475162196184758,0.7844617647314807,43
49,ROSELAND,0.8319483469839182,0.7519181585677749,0.9714285714285714,0.4388496175075047,0.7838445371487764,44
63,GAGE PARK,0.8537095713517069,0.782608695652174,0.9428571428571428,0.3757141473806526,0.7829668879225478,45
53,WEST PULLMAN,0.8192144437137561,0.7218989769820972,0.9142857142857144,0.611503824924954,0.7826310285189276,46
66,CHICAGO LAWN,0.7871704429963532,0.7595907928388747,0.9428571428571428,0.5504018592040283,0.7823029353454583,47
16,IRVING PARK,0.8791773778920309,0.8090792838874681,0.8571428571428572,0.397792195216423,0.7804315421020274,48
